# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 31 Jul 2022 11:42:46 +0200
#
# IP	number of (black)lists
#
51.77.116.67	8
162.247.74.74	8
89.234.157.254	8
51.68.204.182	8
54.39.107.123	8
51.77.118.44	8
185.129.62.62	8
145.239.7.213	7
54.36.122.190	7
109.70.100.26	7
144.172.73.16	7
185.220.102.248	7
145.239.11.79	7
61.177.172.104	7
45.95.55.48	7
54.37.83.165	7
162.247.72.199	7
54.36.123.35	7
141.98.6.197	7
198.96.155.3	7
185.220.101.22	7
192.42.116.16	7
179.60.147.127	7
185.220.102.8	7
185.130.44.108	7
54.36.120.229	7
162.247.74.216	7
162.247.74.213	7
51.89.194.160	7
145.239.11.61	7
145.239.11.62	7
64.113.32.29	7
149.56.26.37	7
54.37.80.220	7
54.37.80.227	7
185.129.62.63	7
61.177.172.90	7
145.239.11.75	7
54.39.49.96	7
128.31.0.13	6
80.82.77.33	6
109.206.241.13	6
208.67.106.88	6
103.251.167.21	6
109.70.100.25	6
109.70.100.20	6
185.220.102.244	6
45.61.186.169	6
185.220.101.9	6
185.220.101.8	6
185.220.101.4	6
185.220.101.3	6
63.222.7.131	6
45.154.255.140	6
178.20.55.18	6
81.161.229.101	6
45.61.185.251	6
152.89.198.199	6
144.172.73.66	6
185.220.100.255	6
185.220.100.254	6
51.77.118.10	6
205.185.118.213	6
94.230.208.147	6
51.79.78.192	6
185.220.101.28	6
185.220.101.27	6
185.220.101.24	6
166.70.207.2	6
185.100.87.174	6
185.196.220.70	6
107.152.217.4	6
51.89.219.132	6
51.161.116.88	6
171.25.193.235	6
185.100.86.74	6
45.154.255.139	6
45.61.184.204	6
46.232.251.191	6
45.61.186.49	6
45.61.184.100	6
37.116.206.113	6
80.67.172.162	6
51.89.232.15	6
51.89.194.93	6
51.79.80.117	6
185.220.101.52	6
95.128.43.164	6
62.102.148.69	6
62.102.148.68	6
104.244.76.13	6
208.67.106.183	6
51.79.78.180	6
185.246.188.60	6
195.206.105.217	6
185.220.101.17	6
185.34.33.2	6
114.92.193.46	6
45.139.122.241	6
45.61.188.170	6
45.61.188.177	6
45.138.16.47	5
218.92.0.221	5
162.247.74.202	5
162.247.74.206	5
185.243.218.41	5
178.175.135.7	5
80.82.78.13	5
162.220.162.170	5
109.70.100.27	5
109.70.100.21	5
109.70.100.23	5
109.70.100.28	5
71.6.199.23	5
92.246.84.133	5
83.137.158.11	5
195.176.3.20	5
61.177.173.51	5
61.177.173.50	5
61.177.173.53	5
61.177.173.52	5
128.199.193.246	5
46.101.169.25	5
185.241.208.50	5
185.220.101.84	5
185.220.101.86	5
103.251.167.10	5
195.178.120.113	5
91.203.145.116	5
141.98.9.47	5
185.220.101.7	5
185.220.101.1	5
2.58.56.101	5
89.58.42.239	5
45.95.55.41	5
95.142.161.63	5
83.137.158.2	5
80.82.77.139	5
185.220.101.40	5
185.104.120.30	5
185.100.87.133	5
109.70.100.33	5
178.20.55.16	5
130.149.80.199	5
185.220.101.66	5
185.220.101.67	5
185.220.101.69	5
61.177.172.114	5
20.210.53.189	5
194.26.192.172	5
51.79.98.34	5
159.223.194.140	5
159.89.205.91	5
185.220.100.252	5
103.251.167.20	5
185.220.101.25	5
193.3.19.178	5
83.137.158.4	5
83.137.158.8	5
83.137.158.9	5
61.177.172.61	5
185.56.171.94	5
185.220.101.26	5
192.42.116.14	5
206.189.2.179	5
43.153.24.185	5
125.228.160.225	5
185.220.102.4	5
51.79.78.171	5
84.53.228.192	5
185.220.101.16	5
51.79.98.76	5
109.70.100.19	5
159.203.102.122	5
185.220.101.131	5
185.220.101.135	5
162.247.74.27	5
199.195.254.191	5
36.110.228.254	5
162.247.74.217	5
5.2.72.226	5
61.177.173.46	5
61.177.173.47	5
61.177.173.44	5
61.177.173.48	5
61.177.173.49	5
138.197.103.147	5
167.86.94.107	5
185.233.100.23	5
185.107.47.171	5
61.177.173.54	5
74.201.31.250	5
37.111.131.38	5
144.172.73.34	5
109.70.100.94	5
109.70.100.91	5
92.255.85.113	5
61.177.172.108	5
36.80.48.9	5
208.67.105.128	5
185.220.101.53	5
199.249.230.77	5
61.177.172.124	5
167.248.133.46	5
209.141.55.140	5
185.220.101.76	5
185.220.101.62	5
51.89.219.195	5
61.177.173.39	5
46.101.254.194	5
185.220.100.246	5
185.220.100.247	5
185.220.100.249	5
185.220.101.18	5
185.165.190.34	5
81.17.18.58	5
81.17.18.59	5
45.249.100.26	5
185.220.101.38	5
185.220.101.36	5
185.220.101.32	5
192.42.116.20	5
212.83.144.11	5
125.163.160.229	5
61.177.172.98	5
5.45.99.26	5
198.98.51.189	5
185.220.101.12	5
185.220.101.148	5
61.177.173.37	5
61.177.173.36	5
61.177.173.35	5
75.119.139.188	5
185.220.103.114	5
190.85.108.186	5
139.59.0.151	5
143.110.144.224	5
107.189.8.65	5
61.177.172.19	5
193.151.134.158	4
174.102.206.67	4
162.19.26.30	4
121.46.24.73	4
163.44.197.129	4
14.161.27.163	4
195.19.4.22	4
218.22.190.133	4
2.45.191.223	4
14.224.169.32	4
103.41.213.70	4
161.35.98.96	4
5.255.97.134	4
5.255.97.133	4
64.227.120.10	4
104.160.43.117	4
37.120.160.110	4
197.5.145.87	4
103.248.25.99	4
107.170.102.171	4
175.126.146.152	4
186.121.203.115	4
165.227.84.172	4
159.223.157.53	4
162.247.74.200	4
159.65.41.104	4
178.128.187.192	4
199.195.249.253	4
185.180.143.148	4
91.240.118.105	4
137.184.126.78	4
137.184.219.69	4
196.1.97.216	4
203.28.246.189	4
128.199.163.55	4
69.49.244.94	4
185.243.218.46	4
94.102.56.11	4
217.79.179.7	4
168.90.84.98	4
150.95.82.199	4
178.17.171.102	4
138.68.58.138	4
139.59.251.146	4
37.120.160.91	4
174.138.30.115	4
107.189.10.150	4
206.189.14.223	4
146.190.236.238	4
43.154.208.64	4
200.42.176.235	4
165.16.27.10	4
43.153.100.223	4
137.184.150.119	4
165.232.138.25	4
2.42.138.122	4
143.198.209.48	4
172.104.131.24	4
109.70.100.24	4
109.70.100.22	4
165.22.114.116	4
103.161.96.72	4
51.91.215.26	4
34.133.218.250	4
128.199.32.98	4
5.2.77.22	4
157.230.218.88	4
43.132.238.85	4
59.126.171.138	4
103.226.250.228	4
178.128.116.50	4
37.120.185.151	4
190.121.5.210	4
23.129.64.136	4
211.253.27.169	4
196.20.68.81	4
199.249.230.145	4
222.114.107.229	4
213.82.38.225	4
23.95.164.237	4
104.244.73.85	4
120.28.109.188	4
185.86.148.90	4
104.244.74.97	4
164.92.129.174	4
83.137.158.14	4
83.137.158.10	4
210.97.86.61	4
115.94.79.59	4
91.250.242.12	4
195.176.3.23	4
195.176.3.24	4
134.122.118.209	4
112.215.60.66	4
185.107.47.215	4
